filename,frequency,totalDur,durStatOnset,durStatOffset,onsetDistance,offsetDistance,direction,trajectory,offsetAzimuth,targetTrial,congruence,targetAzimuth,sourceInt,stimID,fs
20-Feb-2025-1640/20-Feb-2025-1640-01,700,3.2,0.8,0.8,0.2,1,1,2,-90,0,0,NaN,0,2R001,44100
20-Feb-2025-1640/20-Feb-2025-1640-02,700,3.1,0.7,0.8,0.2,1,1,2,-90,0,0,NaN,0,2R002,44100
20-Feb-2025-1640/20-Feb-2025-1640-03,400,3.1,0.7,0.8,0.2,1,1,2,-90,0,0,NaN,0,2R003,44100
20-Feb-2025-1640/20-Feb-2025-1640-04,500,2.8,0.5,0.7,0.2,1,1,2,-90,0,0,NaN,0,2R004,44100
20-Feb-2025-1640/20-Feb-2025-1640-05,700,2.7,0.6,0.5,0.2,1,1,2,-90,0,1,NaN,0,2R005,44100
20-Feb-2025-1640/20-Feb-2025-1640-06,600,2.9,0.7,0.6,0.2,1,1,2,-90,0,1,NaN,0,2R006,44100
20-Feb-2025-1640/20-Feb-2025-1640-07,600,2.7,0.5,0.6,0.2,1,1,2,-90,0,1,NaN,0,2R007,44100
20-Feb-2025-1640/20-Feb-2025-1640-08,400,3.2,0.8,0.8,0.2,1,1,2,-90,0,1,NaN,0,2R008,44100
20-Feb-2025-1640/20-Feb-2025-1640-09,400,2.9,0.8,0.5,0.2,1,1,2,-90,1,0,90,0,2R009,44100
20-Feb-2025-1640/20-Feb-2025-1640-10,900,2.9,0.7,0.6,0.2,1,1,2,-90,1,0,90,0,2R010,44100
20-Feb-2025-1640/20-Feb-2025-1640-11,700,2.9,0.7,0.6,0.2,1,1,2,-90,1,0,90,0,2R011,44100
20-Feb-2025-1640/20-Feb-2025-1640-12,600,2.9,0.7,0.6,0.2,1,1,2,-90,1,0,90,0,2R012,44100
20-Feb-2025-1640/20-Feb-2025-1640-13,600,2.8,0.6,0.6,0.2,1,1,2,-90,1,1,-90,0,2R013,44100
20-Feb-2025-1640/20-Feb-2025-1640-14,800,3,0.8,0.6,0.2,1,1,2,-90,1,1,-90,0,2R014,44100
20-Feb-2025-1640/20-Feb-2025-1640-15,500,2.8,0.6,0.6,0.2,1,1,2,-90,1,1,-90,0,2R015,44100
20-Feb-2025-1640/20-Feb-2025-1640-16,800,2.7,0.6,0.5,0.2,1,1,2,-90,1,1,-90,0,2R016,44100
