filename,frequency,totalDur,durStatOnset,durStatOffset,onsetDistance,offsetDistance,direction,trajectory,offsetAzimuth,targetTrial,congruence,targetAzimuth,sourceInt,stimID,fs
20-Feb-2025-1640_2/20-Feb-2025-1640_2-01,800,3.1,0.7,0.8,0.2,0.2,2,3,-90,0,0,NaN,0,3R001,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-02,700,2.8,0.6,0.6,0.2,0.2,2,3,-90,0,0,NaN,0,3R002,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-03,700,2.7,0.5,0.6,0.2,0.2,2,3,-90,0,0,NaN,0,3R003,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-04,900,2.9,0.6,0.7,0.2,0.2,2,3,-90,0,0,NaN,0,3R004,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-05,400,2.9,0.6,0.7,0.2,0.2,2,3,-90,0,1,NaN,0,3R005,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-06,900,3.1,0.7,0.8,0.2,0.2,2,3,-90,0,1,NaN,0,3R006,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-07,400,2.9,0.8,0.5,0.2,0.2,2,3,-90,0,1,NaN,0,3R007,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-08,700,2.9,0.8,0.5,0.2,0.2,2,3,-90,0,1,NaN,0,3R008,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-09,500,3,0.7,0.7,0.2,0.2,2,3,-90,1,0,90,0,3R009,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-10,400,3,0.7,0.7,0.2,0.2,2,3,-90,1,0,90,0,3R010,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-11,800,2.9,0.6,0.7,0.2,0.2,2,3,-90,1,0,90,0,3R011,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-12,900,3,0.7,0.7,0.2,0.2,2,3,-90,1,0,90,0,3R012,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-13,500,3.2,0.8,0.8,0.2,0.2,2,3,-90,1,1,-90,0,3R013,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-14,700,3,0.6,0.8,0.2,0.2,2,3,-90,1,1,-90,0,3R014,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-15,600,2.6,0.5,0.5,0.2,0.2,2,3,-90,1,1,-90,0,3R015,44100
20-Feb-2025-1640_2/20-Feb-2025-1640_2-16,600,3,0.7,0.7,0.2,0.2,2,3,-90,1,1,-90,0,3R016,44100
